inchi_key,rdkit_smiles,PIC50
PQHIRTDXFUZNBI-DVECYGJZSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)nc1,6.29
UDVBAIMSAZRJGM-UHFFFAOYSA-N,Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)cc1,4.95
DQNCRNVCBHYBQP-UHFFFAOYSA-N,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,7.28
NIFGQHGFOUMQJN-KCWPFWIISA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(-c2ncco2)cc1,6.305
PDHFVQWVURJQTK-UHFFFAOYSA-N,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cnc2ccccn12,6.0
AQMPTYUVSBXZPZ-UHFFFAOYSA-N,Oc1nc2ccccc2n1C1CCN(C2CCN(Cc3ccccc3Cl)CC2)CC1,5.69
UFUQIVBOXLXINJ-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccccc4C(F)(F)F)C3C2)nnc1-c1cccnc1,6.133333333333333
VQODXNCHOGDXSX-YKSBVNFPSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CCN(C(N)=O)CC1,5.965
FQGGNELGQIQAHB-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCN(c2nsc3ccccc23)CC1,7.75
XYOSGJOTBXWFCN-UHFFFAOYSA-N,O=C1CCc2cccc(F)c2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,7.021138197355577
LRXGBYNAHIRXGB-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCC(n2c(O)nc3c(F)cccc32)CC1,7.8239100000000015
PNQNPKIDRYQUHE-UHFFFAOYSA-N,O=C1CCc2cccnc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,6.2209243748081775
GCGNPPCFOWHEEJ-UHFFFAOYSA-N,Cc1c(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)sc2ccc(F)cc12,8.720832133015723
YKMMIZDDGKTHST-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,8.60206
LAMDTGOBCQBCBW-UHFFFAOYSA-N,O=C1CCc2ncccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,5.658788659588898
ZIQDGXNDXRMRPM-HTAPYJJXSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,7.12
ZIQDGXNDXRMRPM-VGOFRKELSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,6.055
CEHDRGBLVBQUPH-UHFFFAOYSA-N,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,5.35
DBXZHGCWVRWCGN-UHFFFAOYSA-N,O=C1CCc2c(F)cccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,7.2209243748081775
BGRFOPBDZYUOMJ-UHFFFAOYSA-N,Cn1c(SCCCN2CC3CCN(c4ccccc4)C3C2)nnc1C1CCOCC1,6.466666666666666
ZMIWRRKLVCCVBJ-UHFFFAOYSA-N,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccc(Cl)cc2s1,8.920546251317461
LRMWMKQIJLOEPF-AVRDEDQJSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(F)cc3C(F)(F)F)C2)n1C,6.78
XJTVRXYTOLNCDQ-XXBNENTESA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CCC(=O)N=C1,6.295
MNAFRWGRFIBAQX-AVRDEDQJSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,6.115
ZCFZBUNCKXEBAK-UHFFFAOYSA-N,O=C(Nc1cccc(SC(F)(F)F)c1)N1CCC(N2CCC(n3c(O)nc4ccc(F)cc43)CC2)CC1,5.72
OMSMDLGOLRRGGT-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccncc32)CC1,5.022276394711152
ATQMRMGXINTJHV-UHFFFAOYSA-N,Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,6.041672833866111
