compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
COc1ccc(Cn2c(N3CC[C@@H](N(C)C)C3)nc3ccccc32)cc1,5.601373330442654,,,,,,8.078573571312706,,6.31,,COc1ccc(Cn2c(N3CC[C@@H](N(C)C)C3)nc3ccccc32)cc1
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5.5,5.25,5.0,5.0,5.0,5.0,5.0,5.16292378423796,,,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,5.4458445571875504,5.567744459470804,5.4430283238465815,5.795880017344077,5.795880017344077,8.412211343068893,7.716874363891593,9.771875,6.846056647693162,,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
N[C@@H](CCS(=O)(=O)O)C(=O)O,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,N[C@@H](CCS(=O)(=O)O)C(=O)O
CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1,6.2,,,,,,9.27,,,,CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1
CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,5.033432861379978,5.026714679641652,5.018654047910903,5.0451283873048185,5.029231966035558,5.041672831162827,5.033041257575041,6.590038115643772,,5.050898691329959,CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,5.966567138154418,5.9732853199619615,5.981345987655829,5.954871611996199,,,5.966958741979973,,,5.956373207481242,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.059894259475263,,,,,7.362340701215545,6.7229727705328965,7.629029332343298,,,O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CCOC(=O)N1CCC(CN2CCC3(CC2)CC(=O)N(CC)c2ncccc23)CC1,6.6,5.4,,6.6,,,4.73,,5.54,,CCOC(=O)N1CCC(CN2CCC3(CC2)CC(=O)N(CC)c2ncccc23)CC1
