compound_id,target_DRD2_standard_value,target_CHRM2_standard_value,target_HTR2A_standard_value,target_OPRM1_standard_value
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,8.04724350742729,6.667679012221937,9.056947894537116,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(C)(C)C)oc6cc5CC4)n3C)cccc2n1,6.041672833866111,,,
CN(C)C[C@@H]1CC2c3ccccc3Oc3ccc(F)cc3[C@H]2O1,6.719655544250758,,5.263284866394389,
CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(Br)cc3[C@H]2O1,7.180305354819378,,7.822606246981442,
Cc1cccc(N2CCN(CCCNC(=O)c3cn[nH]c3C)CC2)c1,5.79,,7.48,
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,5.6,6.698934647526504,6.959535771613925,
Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(C(F)(F)C(F)(F)F)nc4c3CC2)n1C,6.499996931948306,,,
Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6c(cc5CC4)C(=O)N(C(C)C)C6)n3C)cccc2n1,6.041672833866111,,,
O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,9.272497676941049,,7.510027173525056,
Cc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.041672833866111,,,
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,8.728859583205452,6.0,9.274156457546724,
COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,6.211220542952943,5.0
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,9.15591017130062,,9.06,
Clc1cccc2c1CN(CCCCc1nc3ccccc3s1)CC2,6.57,,6.595,
Cc1ccc2c(c1)Oc1sc(Cl)cc1C(N1CCN(CC(C)(C)C(=O)O)CC1)=N2,5.56,,8.31,
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,6.3928430512878,5.0,8.202812628635332,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(C(F)(F)F)nc6c5CC4)n3C)cccc2n1,6.0999995174238535,,,
CN(CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc(OCCCN2CCCCC2)cc1,7.282665552121734,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(CC(F)(F)F)oc6cc5CC4)n3C)cccc2n1,6.241672215099273,,,
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.379980668779571,7.060789638643503,8.379235331342793,
CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1,6.0797192489253975,5.026714679641652,7.619959751720092,5.050898691329959
Clc1ccc(N2CCCN(CCCCc3nc4ccccc4s3)CC2)cc1,6.588983967867034,,6.799534291893183,
CCc1nc2c3c(ccc2o1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.399996913372259,,,
